product_category,COD,ARTICULO,DESCRIPCION,PRECIO_MAS_ALTO,PRECIO_MAS_BAJO,PRECIO_POR_KILO,PRECIO_POR_CAJA,PRECIO_ANTERIOR,USD
Frutas y Verduras,1,AGUACATE,CAJA CON 16K,"600,00","200,00","35,00","600,00","45,00","1,71"
Frutas y Verduras,2,AJO BLANCO,CHILENO #8 C/10K,,,,"700,00",,"34,29"
Frutas y Verduras,3,AJO BLANCO,CHILENO #7 C/10K,,,,"680,00",,"33,31"
Frutas y Verduras,4,AJO BLANCO,NACIONAL #9 C/10K,,,,"70,00",,
Frutas y Verduras,5,AJO BLANCO,NACIONAL #10 C/10 K,,,,"80,00",,
Frutas y Verduras,6,COCO,POR PIEZA,"40,00","20,00",,,"40,00",
Frutas y Verduras,7,BLUEBERRY,12 DOMOS,,,,"350,00","420,00","17,15"
Frutas y Verduras,8,CALABAZA,,"270,00","170,00","10,00","170,00","130,00","8,33"
Frutas y Verduras,9,CEBOLLA BLANCA,BULTO DE 38K,"12,00","3,80","12,00","80,00","12,00","0,59"
Frutas y Verduras,10,CEBOLLA MORADA,BULTO DE 38K,"18,00","5,00","18,00","60,00","11,00","0,88"
Frutas y Verduras,11,JENGIBRE,,"65,00","50,00","65,00",,"80,00","3,18"
Frutas y Verduras,12,CHAYOTE,BULTO CON 20 K,,,"12,00","130,00","150,00","6,37"
Frutas y Verduras,13,CHILE CUARESMEÑO,,"7,00","6,00","7,00",,"6,00","0,34"
Frutas y Verduras,14,CHILE DE ÁRBOL,,,,,"50,00","50,00","2,45"
Frutas y Verduras,15,CHILE HABANERO,CHOCOLATE,,,,"260,00","250,00","12,74"
Frutas y Verduras,16,CHILE HABANERO,,"60,00","30,00",,"60,00","50,00","2,94"
Frutas y Verduras,17,CHILE JALAPEÑO,,"20,00","6,00","20,00",,"12,50","0,98"
Frutas y Verduras,18,CHILE POBLANO,,"11,00","9,80","11,00",,"15,00","0,54"
Frutas y Verduras,19,CHILE SERRANO,,"12,00","11,00","12,00",,"6,00","0,59"
Frutas y Verduras,20,DURAZNO MICHOACAN,CAJA CON 9K,,,,"400,00","650,00","19,60"
Frutas y Verduras,21,DURAZNO MELOCOTON,CAJA CON 9K,,,,"450,00","580,00","22,05"
Frutas y Verduras,22,FRESA BAJA CALIFORNIA,8 DOMOS,,,,"420,00","450,00","20,58"
Frutas y Verduras,23,FRESA DRISCOL,8 DOMOS,,,,"220,00",,
Frutas y Verduras,24,FRESA NACIONAL,FRESH STRAWBERRY 8 DOM,,,,"220,00",,
Frutas y Verduras,25,FRESA,CAJA CON 9K,,,,"320,00","300,00","15,68"
Frutas y Verduras,26,FRAMBUESA,12 DOMOS,,,,"450,00","450,00","22,05"
Frutas y Verduras,27,GRANADA,CAJA CON 20K,,,,,,
Frutas y Verduras,28,GUANÁBANA,CAJA CON 10K,,,"70,00",,"55,00","3,43"
Frutas y Verduras,29,GUAYABA,CAJA CON 8K,"150,00","85,00","150,00",,"200,00","7,35"
Frutas y Verduras,30,HIGO,CAJA CON 10k,"500,00","400,00",,"500,00","230,00","24,50"
Frutas y Verduras,31,JICAMA,,,,"10,00",,"8,00","0,49"
Frutas y Verduras,32,JITOMATE SALADET,CAJA CON 15K,"80,00","50,00",,"80,00","130,00","3,92"
Frutas y Verduras,33,JITOMATE SALADET,CAJA CON 25K,"150,00","120,00","25,00","150,00","250,00","7,35"
Frutas y Verduras,34,LIMA,,,,,,,"1,22"
Frutas y Verduras,35,LIMÓN CON SEMILLA,CAJAS CON 21K,"24,00","15,00","24,00",,"28,00","1,18"
Frutas y Verduras,36,LIMÓN SIN SEMILLA,,"24,00","16,00","24,00",,"22,00","1,18"
Frutas y Verduras,37,MANGO ATAULFO,CAJA CON 25K GUERRERO,"1,500,00","900,00",,"1,500,00","1,300,00","73,49"
Frutas y Verduras,38,MANGO MANILA,CAJA CON 25K,"1,300,00","800,00",,"1,300,00","1,200,00","63,69"
Frutas y Verduras,39,MANGO ATAULFO,NIÑO GUERRERO,,,,"430,00","400,00","21,07"
Frutas y Verduras,40,MANGO MANILA,NIÑO,,,,"800,00","700,00","39,19"
Frutas y Verduras,41,MANGO ORO,CAJA CON 25K,,,,"300,00","310,00","14,70"
Frutas y Verduras,42,MANGO TOMMY,CAJA CON 25K,,,,"700,00","560,00","34,29"
Frutas y Verduras,43,MARACUYÁ,,"35,00","30,00","35,00",,"35,00","1,71"
Frutas y Verduras,44,MELON VALENCIANO,CAJA CON 12 PZAS,,,,"350,00",,"17,15"
Frutas y Verduras,45,NARANJA,VALENCIA,"15,00","13,00","15,00",,"15,00","0,73"
Frutas y Verduras,46,PAPA AMERICANA,BULTO CON 23K,,,,"450,00","450,00","22,05"
Frutas y Verduras,47,PAPA BLANCA,,,,,"12,00","12,00","0,59"
Frutas y Verduras,48,PAPA PARA FREIR,,,,,"15,00","15,00","0,73"
Frutas y Verduras,49,PAPA AMARILLA,,,,,"10,00","10,00","0,49"
Frutas y Verduras,50,PAPA CHICA,,,,,"9,00","8,00","0,44"
Frutas y Verduras,51,PAPAYA,MARADOL,"20,00","10,00","20,00",,"17,00","0,98"
Frutas y Verduras,52,PAPAYA,OAXACA,"20,00","14,00","20,00",,"20,00","0,98"
Frutas y Verduras,53,PIMIENTO MORRON,CAJA CON 11K,"40,00","30,00","40,00",,"40,00","1,96"
Frutas y Verduras,54,PIÑA MIEL,PIEZA POR DOCENA,"35,00","16,00","35,00",,"40,00","1,71"
